UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
(((Roberta Kina Hora Lipp))),@RobertaLipp,2021-01-28T16:58:40.000Z,"Yes. I am very late to this. But you all were correct about Freaks and Geeks. 

(it just dropped on Hulu notably with the original soundtrack restored; that was apparently an issue of clearly criminal proportion.)",,,3,,12,[],https://twitter.com/RobertaLipp/status/1354836299962789888
Hobo McCoy,@CoachHobo_PCC,2021-01-28T15:43:11.000Z,"Replying to 
@StarOf_TheShow",Netflix Murder Mountain if you’ve not watched it and A Wilderness of Error on Hulu was some crazy shit too,,1,,,[],https://twitter.com/CoachHobo_PCC/status/1354817306157752329
SomethingAboutMari,@lkrsMARI,2021-01-28T13:20:18.000Z,"Replying to 
@RickRoo1",RSN is the worst. Had this issue with a lot of the UL WBB games. Especially since Hulu dropped Fox Sports.,,,,,[],https://twitter.com/lkrsMARI/status/1354781349316603905
Ali Amir Razali | علي امير رازالي,@aliamirrazali,2021-01-28T12:42:27.000Z,"Replying to 
@NajwanHalimi","I know you do YB. Especially on the Hutan Simpan Hulu Langat Utara issue. Hence why I said ""ramai politician"" and not""semua"" . We need more YB, on both sides.",,,,,[],https://twitter.com/aliamirrazali/status/1354771822009454595
Stone Kold,@StoneKold_21,2021-01-28T08:30:42.000Z,"Hey 
@peacockTV
  why don't you sell gift cards like 
@WWENetwork
 @hulu
 @netflix
 and 
@Spotify
 do and can you fix your controller bug on ps4 peacock is the only app you can't turn your controller off while you watch ashow/movie any chance of any of this being fixed before March 
@WWE",GIF,,1,,,['https://pbs.twimg.com/tweet_video_thumb/EszkKfpXYAIsdws.jpg'],https://twitter.com/StoneKold_21/status/1354708468725395456
Alf,@GordonShumway66,2021-01-28T05:56:20.000Z,"Replying to 
@cinderellaicius","Hulu, and Twitched are hosted on Amazon, but not Twitter.

May be a local ISP issue.",,,,,[],https://twitter.com/GordonShumway66/status/1354669620305661954
Kris Selby,@Selby84,2021-01-28T05:45:30.000Z,"Replying to 
@FOXSportsSW
 @hulu
 and 
@YouTubeTV","This was never an issue before 
@WeAreSinclair
 bought 
@FOXSportsSW
   We know who the real enemy is. Not going to add a subpar service just for games. #freedallassports #goawaysinclair #bereasonable #compromise",,,1,1,[],https://twitter.com/Selby84/status/1354666891785232384
Nicholas Torres,@NicktheHulk93,2021-01-28T04:51:39.000Z,"Replying to 
@hulu_support","@hulu_support
 I have talked to someone in chat. That led me no where and did nothing. I still have the same issue. All your support team said was they did everything they could. Guess I can’t watch 
@hulu",,1,,,[],https://twitter.com/NicktheHulk93/status/1354653340018352130
Cameron,@nbcam0318,2021-01-28T04:47:29.000Z,"Can someone with 
@hulu_support
 please contact me, my account won’t let me long in for help saying “single sign on error”. Every time I open a show it plays a commercial and then shuts off, no code error, just shuts off.  And yes I unloaded, reloaded the app, all other apps work",,,1,,,[],https://twitter.com/nbcam0318/status/1354652292977311744
B-i-N-G-o,@FiLiFLiP,2021-01-28T03:21:16.000Z,"Replying to 
@hulu_support",issue resolved. ty,,1,,,[],https://twitter.com/FiLiFLiP/status/1354630597063241732
Jeremiah Elliott,@papabojanglez,2021-01-28T02:47:37.000Z,"Replying to 
@hulu_support",On at&t tv. Run off Android TV. The hulu app had zero sound for shows. Its not a setting issue. Many online reports show its a common app issue.,,1,,,[],https://twitter.com/papabojanglez/status/1354622126163111936
DarkSkinGal,@nyecasims,2021-01-28T02:26:28.000Z,Be watching a good ass show and Hulu or Netflix pop up with a error,,🍫 😘,,,,[],https://twitter.com/nyecasims/status/1354616802932891653
RULLUR,@RULLUR,2021-01-28T01:57:07.000Z,"#AEWDynamite: Not sure why 
@hulu_support
 deleted these tweets, but I just wanna say I'm glad they are on the job to fix the issue with TNT East showing a Black Screen during this broadcast:",,,,,,['https://pbs.twimg.com/media/EsyKBU8XEAQyjdy?format=png&name=small'],https://twitter.com/RULLUR/status/1354609420005728257
Tiffany Marshall,@TiffTweetsNow,2021-01-28T01:45:21.000Z,".
@hulu
  If I’m paying for your service, why won’t it work? Been getting this error message for the past 15 minutes, regardless of which show I try to watch. #hulu",,,1,,,['https://pbs.twimg.com/media/EsyHBfdW4AMwBmW?format=jpg&name=small'],https://twitter.com/TiffTweetsNow/status/1354606457979858945
Kevin Flynn,@TheMonsterKevin,2021-01-28T01:18:53.000Z,"Replying to 
@ByronFever
 and 
@AEWonTNT","Had same issue on hulu so went to directv and it worked,  but it's now back on hulu",,1,,1,[],https://twitter.com/TheMonsterKevin/status/1354599798943301634
RULLUR,@RULLUR,2021-01-28T01:14:35.000Z,"#AEWDynamite: That's Crazy! I was like 2Mins late already, and then when I skipped to Live TV instead of watching from the start on 
@hulu
, I got a Black Screen. I even switched channels to find out it was only TNT East that had the issue. Closed the App & everything, but no fix","Quote Tweet
Cast out the shadows
@WrongHordak99
 · Jan 27
Messed up on YoutubeTV too twitter.com/RULLUR/status/…",,1,,1,['https://pbs.twimg.com/profile_images/1261803634922336256/2bGStzqC_mini.jpg'],https://twitter.com/RULLUR/status/1354598713033973766
Ric Tweets Wrestling,@CyrusOverHuge,2021-01-28T01:11:51.000Z,"Replying to 
@nhwrestler1975
 @AEW
 and 3 others",I’m having the same issue and using the tnt app,,,,1,[],https://twitter.com/CyrusOverHuge/status/1354598025319088128
Carl Hudson,@Carlhudson1977,2021-01-28T01:10:56.000Z,"Replying to 
@RoddyRowdy
 and 
@tntdrama",Same issue with Hulu,,,,,[],https://twitter.com/Carlhudson1977/status/1354597796901486594
|𝔸𝕤𝕙| 𝕤𝕨𝕖𝕖𝕥 𝕒𝕟𝕕 𝕖𝕧𝕚𝕝,@ashleymarie2422,2021-01-28T01:09:39.000Z,Trying to watch aew on hulu and of course there's an issue,,,1,1,1,['https://pbs.twimg.com/media/Esx_OUEW4AAizmf?format=jpg&name=small'],https://twitter.com/ashleymarie2422/status/1354597475294851074
justbryan,@justbryan6,2021-01-28T01:05:32.000Z,"Replying to 
@Ross_Wheatley",Mine too. I was wondering if it was a Hulu Live issue or a TNT issue,,,,2,[],https://twitter.com/justbryan6/status/1354596437221380098
Jazzy,@wubbies12345,2021-01-28T01:05:29.000Z,"Having the same issue!!!! 
@AEWonTNT
 @tntdrama
 @hulu","Quote Tweet
Dylan Hager
@dhagerj15
 · Jan 27
#AEWDynamite isn’t working on @hulu ????? Are you kidding me @tntdrama?!!!",❤ 💪,1,,1,['https://pbs.twimg.com/profile_images/1153131364499230721/yfvnBsRn_mini.jpg'],https://twitter.com/wubbies12345/status/1354596423820566533
Zach Graham,@zach_graham_74,2021-01-28T01:03:52.000Z,"Replying to 
@ringoftyler","I use Hulu Live and sometimes this happens to me so I assume its an internet issue, but other channels are working so.... NOT GREAT ",😬,1,,,[],https://twitter.com/zach_graham_74/status/1354596017597984770
lissette-stream a discovery of witches,@bookscandles13,2021-01-28T00:59:44.000Z,"@hulu_support
 hey i keep trying to login to hulu on my laptop and my phone and it keeps saying error",,,1,,,[],https://twitter.com/bookscandles13/status/1354594978794762244
AnnaweESO,@AnnaweEso,2021-01-28T00:13:46.000Z,"Replying to 
@BrandonJRouth
 @therookieabc
 and 
@titusmakin","I watch it on hulu the week after.

Thank you for helping address the issue.  Gotta be tough to portray such a character.

I'm looking forward to seeing how it plays out.",,,,1,[],https://twitter.com/AnnaweEso/status/1354583408555429888
Chris Heinisch,@ChrisHeinisch,2021-01-28T00:13:18.000Z,"Replying to 
@sbjsbd
 @WeAreSinclair
 and 
@Ourand_SBJ","Great now settle your issue with 
@YouTubeTV
 and 
@hulu",,,,,[],https://twitter.com/ChrisHeinisch/status/1354583294415929345
Lady Jama Waterton of Smileshire,@Ayanni_Boo,2021-01-29T23:59:29.000Z,What’s Hulu’s issue?,,,,,,[],https://twitter.com/Ayanni_Boo/status/1355304589952737285
Sandra Urfer,@SandraUrfer,2021-01-29T23:38:45.000Z,"Replying to 
@hulu
 and 
@FXNetworks",#FreeBritney thank you for making this documentary about such an important human rights issue! Disgusting what happened to her and right in front of our eyes on top of that! Really can‘t seem to understand how this is even possible!,,,,4,[],https://twitter.com/SandraUrfer/status/1355299372465057794
Cgweld,@cgweld,2021-01-29T19:39:26.000Z,"@ATTHelp
 I recently switched to ATT TV.  I have not been able to get the Amazon Prime or Hulu apps to load.  Error message says the apps are not compatible with ATT TV. 
I see people have been complaining about this for some time.
Is there a plan to fix this?",,,1,,,[],https://twitter.com/cgweld/status/1355239146437152769
Chris_P_Bacon,@johnsomething,2021-01-29T14:49:00.000Z,"Replying to 
@richanxiety
 and 
@hulu_support","Hulu has only been “investigating” this issue for literal years. It’s absolutely pathetic how simple the fix would be. If user is continuing from a previous episode, then next episode starts with 0:00 progress. See how easy that is, Hulu? Code it, goddamnit",🥓,,,1,[],https://twitter.com/johnsomething/status/1355166056210452488
Newsjunky,@citygirltoo21,2021-01-29T13:11:59.000Z,"Replying to 
@DesignationSix
 @Jax6655
 and 15 others",I love when there is a list to boycott that I can share with family and friends. Do better P&G. This isn’t a political issue. Our democracy is at stake. #boycottPandG #boycottDisney #boycotthulu,🗽,,,1,[],https://twitter.com/citygirltoo21/status/1355141643515682820
paul g,@pwg11129,2021-01-29T08:35:12.000Z,"@nvidia
 #nvidia #nvidiasheild ever since the latest update a few weeks ago , i noticed the audio isnt working. I thought it was a Hulu issue...until now i go on netflix and its the same thing. Video plays , bit no audio. I need help",,,,,,[],https://twitter.com/pwg11129/status/1355071988113551361
